Matricula;TotalCreditos;TotalDebitosObrigatorios;TotalDebitosFacultativos
0000103977;981.00;44.00;263.80
0000105503;998.00;61.00;195.81
0000106704;998.00;61.00;291.77
0000111112;971.63;34.63;98.73
0000111791;998.00;61.00;224.10
0000112259;998.00;61.00;273.00
0000115738;981.00;101.00;264.00
0000121932;998.00;61.00;236.04
0000127140;998.00;61.00;747.98
0000131709;998.00;61.00;0.00
0000135143;998.00;61.00;307.70
0000135488;2268.47;75.23;651.82
0000136301;998.00;60.59;673.41
0000140163;2256.58;209.52;0.00
0000142948;3156.20;293.06;0.00
0000143596;998.00;61.00;67.63
1634785468;3754.77;128.01;834.45
1634786065;1851.18;205.93;0.00
1634786359;1656.33;87.29;534.04
1634786430;1605.64;150.08;368.26
1634788475;4750.80;379.14;1550.99
1634788858;3120.77;245.54;1049.85
1634789366;2320.60;192.02;748.58
1634789390;2409.61;182.21;809.56
1634790135;1918.38;178.12;514.34
1634790534;5313.78;455.77;1064.77
1634791220;998.00;60.12;233.88
1634792472;3281.87;38.95;1149.26
1634792804;4009.66;513.87;1164.81
1634793495;3423.99;23.62;1074.25
1634794939;3484.38;155.90;1244.53
